iter	Passed	Remaining
0	149	149377
1	150	75209
2	151	50394
3	154	38507
4	155	30991
5	156	25945
6	158	22415
7	158	19698
8	159	17554
9	159	15834
10	160	14424
11	160	13249
12	161	12257
13	161	11409
14	162	10672
15	163	10026
16	163	9456
17	164	8947
18	164	8492
19	164	8083
20	165	7712
21	165	7375
22	168	7157
23	169	6885
24	170	6632
25	170	6405
26	171	6194
27	172	5983
28	172	5789
29	173	5606
30	173	5435
31	174	5273
32	174	5122
33	175	4980
34	175	4846
35	176	4719
36	176	4600
37	177	4487
38	177	4379
39	178	4277
40	178	4179
41	179	4086
42	179	4001
43	180	3918
44	180	3837
45	183	3813
46	184	3742
47	185	3676
48	185	3609
49	186	3543
50	186	3479
51	187	3417
52	187	3358
53	188	3300
54	188	3246
55	189	3193
56	190	3143
57	190	3094
58	190	3046
59	191	2999
60	191	2954
61	192	2911
62	192	2868
63	193	2827
64	193	2787
65	194	2749
66	194	2712
67	195	2676
68	197	2670
69	198	2640
70	199	2608
71	200	2579
72	201	2553
73	201	2522
74	202	2492
75	202	2462
76	203	2433
77	203	2405
78	203	2378
79	204	2351
80	204	2325
81	205	2299
82	205	2271
83	206	2248
84	206	2224
85	207	2201
86	207	2179
87	208	2157
88	208	2135
89	209	2114
90	209	2093
91	210	2073
92	210	2053
93	213	2061
94	214	2043
95	215	2027
96	216	2013
97	216	1995
98	217	1978
99	217	1960
100	218	1943
101	218	1926
102	219	1909
103	219	1893
104	220	1877
105	220	1861
106	221	1845
107	221	1830
108	222	1815
109	222	1801
110	223	1786
111	223	1772
112	224	1758
113	224	1745
114	225	1731
115	225	1718
116	228	1722
117	229	1713
118	229	1702
119	230	1690
120	231	1682
121	232	1670
122	232	1658
123	233	1647
124	233	1636
125	234	1625
126	234	1612
127	235	1602
128	235	1591
129	236	1580
130	236	1569
131	237	1559
132	237	1549
133	238	1539
134	238	1529
135	239	1519
136	239	1509
137	240	1499
138	240	1490
139	243	1497
140	244	1489
141	244	1479
142	245	1471
143	246	1465
144	247	1457
145	247	1448
146	248	1439
147	248	1431
148	249	1422
149	249	1414
150	250	1405
151	250	1397
152	250	1389
153	251	1381
154	251	1373
155	252	1366
156	253	1358
157	253	1350
158	253	1343
159	254	1335
160	254	1328
161	255	1320
162	255	1313
163	258	1316
164	258	1310
165	259	1303
166	260	1297
167	261	1294
168	261	1288
169	262	1281
170	263	1275
171	263	1269
172	264	1262
173	264	1256
174	265	1249
175	265	1243
176	266	1237
177	266	1230
178	267	1224
179	267	1218
180	267	1212
181	268	1206
182	268	1200
183	269	1195
184	270	1189
185	270	1184
186	271	1178
187	274	1183
188	274	1178
189	275	1173
190	276	1169
191	276	1165
192	277	1160
193	277	1154
194	278	1149
195	278	1143
196	279	1139
197	279	1133
198	280	1129
199	280	1123
200	281	1118
201	281	1113
202	282	1108
203	282	1103
204	283	1099
205	283	1094
206	284	1089
207	284	1084
208	285	1079
209	285	1075
210	286	1070
211	289	1077
212	290	1073
213	291	1068
214	292	1066
215	292	1062
216	293	1057
217	293	1053
218	294	1048
219	294	1044
220	295	1040
221	295	1035
222	296	1031
223	296	1027
224	296	1022
225	297	1019
226	298	1015
227	298	1011
228	299	1007
229	299	1003
230	300	999
231	300	995
232	301	991
233	303	992
234	304	991
235	305	988
236	306	986
237	307	983
238	307	980
239	308	976
240	308	972
241	309	968
242	309	964
243	310	961
244	310	957
245	311	954
246	311	950
247	312	946
248	312	943
249	313	939
250	313	935
251	314	932
252	314	929
253	315	925
254	315	922
255	316	919
256	319	923
257	319	920
258	320	917
259	321	916
260	322	913
261	323	910
262	323	906
263	324	903
264	324	900
265	325	897
266	325	894
267	326	891
268	326	888
269	327	885
270	328	882
271	328	879
272	329	876
273	329	873
274	330	870
275	330	866
276	331	863
277	331	860
278	334	864
279	335	861
280	335	859
281	336	856
282	336	853
283	337	851
284	338	848
285	338	845
286	339	842
287	339	839
288	340	837
289	340	834
290	341	831
291	341	828
292	342	825
293	342	823
294	343	820
295	343	817
296	344	814
297	344	812
298	345	809
299	345	806
300	346	803
